rating,reviewer_id,date,review_title,review_body
1.0,Monica,2025-08-22,,I was excited to guess this matches thinking that it was better than the one that I bought from home plus years ago. I'm actually glad I didn't throw away my home plus mattresses. Because this mattress does not work for me at all. I let my granddaughter because she's a much younger and smaller person than I am and she told me grandma I can feel the springs and the mattress. This is not going to be a good mattress for you. I guess you get what you pay for it was around $100 and I got a less value than a $100 mattress.
1.0,Lucretia,2025-07-22,,Bought this smashes for my mom and ended up putting it in the upstairs storage because you could feel springs all over the place as soon as you sit down it's not thick. You feel every metal spring when you sit or lay on it. It's very uncomfortable no support whatsoever. Maybe that's why it was so cheap.
1.0,Kristen,2025-09-18,World's WORST mattress,"Bought this for my son‘s twin bed. We bought him the Batmobile bedframe, so the bed would be on the floor. And now, so is he. The second you put a pound of pressure on this mattress flattened to the ground. You can feel every single spring. Except for the springs, and the outer layer I'm not sure there's any substance to this mattress. DO NOT BUY THIS TO SAVE MONEY."
5.0,Jazmin,2025-12-27,,"Maybe it's bc adults are naturally heavier , but I do not like this mattress. I got two for my kiddos who are not even 50 lbs. they're both under. They haven't complained about them. But when I laid on one , I felt me hand almost ripped through. That's how “thin” it felt."
1.0,Chelsea,2026-01-20,Stop ! You get what you pay for DONT BUY,Terrible mattress. Super thin with little to no support. You can feel the inner springs through the fabric. Less than 100 lbs and you can literally hit the box spring when you sit down We are having to replace it not 5 months later. Fine for display only do not waste your money.
4.0,Lakeisha,2026-02-01,,"It took longer than expected. It kept rescheduling delivery and was off by a few days, which threw off my assembly schedule and I still haven't gotten that worked out yet they keep bringing out one person, but tell me that two is needed, and they are having to reschedule so it has been an inconvenience."
3.0,hunt16,2026-02-02,My misteak.,This is the 2nd one I purchased and I'm very displeased. I thought the problem was in the bed itself but the mattress 'broke down' on the edge after just a few weeks giving me back problems. The break down is where I set down to swing my legs up on the bed.
1.0,Nitejezter,2025-09-11,Could be Worse!,"For the price it's ok! 😏If your out of options BUT,... 🤨If your idea was firmness or comfort forget about it! 🫤 The top layer may as well be paper. Yup that thin! you feel (and by the pics) See every spring!... and hear too!, 😐Which you know....helps for sleeping...! 🧐My Advice: Spend a few more bucks and get something better. Zinus really dropped the balls in these last few yrs. ☹️Shame!"
1.0,Mary,2026-02-24,Not satisfied with purchase,"Mattress arrived rolled in box. I unpacked it and let it lay on bed foundation for 3 nights as directed. And then…… Mattress completely collapes when I set on it. Not med-firm as stated. It does not meet the weight as described. This was a bad purchase for me to make, however I am sleeping on it as I have nothing else to sleep on. Therefore I will keep it until I can get another."
5.0,Jade,2026-01-02,Worth every penny!,"I purchased this mattress for my toddler's bunk bed %26 it is so comfortable! I was a little nervous due to some of the reviews but it was worth every penny. It was super easy to set up, just take it out the box %26 let it lay flat until it takes shape. It's so comfortable I've even slept on the mattress misled. If you're second guessing about purchasing it, don't! It's comfort %26 sturdiness all for a good price."
1.0,Surbhi,2025-06-14,Walmart refund nightmare,"Two months ago, I requested a refund from Walmart, but I still haven't received it. The customer service experience was frustrating - they passed the blame around, and despite calling multiple times, I was told that my request wasn't escalated as claimed. Buyer beware: Walmart's refund process is a nightmare. Avoid ordering from them if you can."
1.0,Christopher,2025-06-24,Do not buy,Even after letting it sit for 38 hours it was significantly deformed. One side completely collapses when you put any pressure on it and the whole mattress has a wave to it. Terrible product. Buying mattresses online is already skeptical and products like these are exactly why.
1.0,Surbhi,2025-06-14,Walmart refund nightmare,"Two months ago, I requested a refund from Walmart, but I still haven't received it. The customer service experience was frustrating - they passed the blame around, and despite calling multiple times, I was told that my request wasn't escalated as claimed. Buyer beware: Walmart's refund process is a nightmare. Avoid ordering from them if you can."
1.0,Christopher,2025-06-24,Do not buy,Even after letting it sit for 38 hours it was significantly deformed. One side completely collapses when you put any pressure on it and the whole mattress has a wave to it. Terrible product. Buying mattresses online is already skeptical and products like these are exactly why.
1.0,Emma,2025-06-22,Don't waste your time,Worst mattress ever. Bought the 6 inch mattress to put on my daybed. The springs were terrible and felt like you were on an awful air mattress as soon as someone else sat down. No padding whatsoever. Had to transport and bring to a Walmart store for return. Do not waste your time with this mattress.
1.0,WalmartCustomer,2025-03-23,,"It's very uncomfortable, took too long to ship, not worth the money, coils can be felt through top of the mattress %26 it doesn't fit in the twin XL bed frame l purchased from a competitor of Walmart since I couldn't find a single bed frame my daughter %26 I wanted to have delivered same or next day. Now I can't return it because it's been taken out of the vacuum seal so I'll just have to take the loss and purchase another mattress from somewhere else. Thanks for nothing Walmart"
1.0,Brenda,2025-11-01,WORST MATTRESS EVER!!!,"I bought this mattress for my grandson , it is very thin and you can feel the springs in it , definitely would not ever buy this again or recommend this to anyone either!!!"
5.0,Judy,2025-11-11,,"If it's something that I had wanted to buy I would have, unfortunately it's not something that I needed and wanted. I think it's just the right thing that I would have wanted . It's perfect. It's also looks like it's a well made product"
5.0,April,2025-11-14,,This mattress was worth the price just let a responsible person open it my 21 year old daughter was almost knocked over when she cut into it. My son loves the comfort.
1.0,hmandgprty4u,2025-09-13,,Every movement felt the inner springs. Had to buy mattresses topper. Had I known that I would have purchased a different one. I would not recommend this mattress.
4.0,Alazia,2026-01-15,,"it is a nice mattress that gets the job done, it came about a day late but that was due to the weather. if you are lookong for a cheap twin size mattress that will still give you a goodnights rest then this is the way to go!"
5.0,Tasha,2026-02-04,"zinus xl 6"" twin spring mattress",I was amazed for the price really good quality the stitching around the the mattress is done with double stitching. I feel like for heavier person purchase the mattress pad as well for extra padding.
2.0,Kimaya,2025-09-30,Not worth it,"I'm very grateful for the bed but this is not up to standard for the price. The springs are so hard, the bed is very flimsy and thin. I'm going to have to buy a mattress topper for this. But the size is good."
5.0,Everie,2025-09-30,Worth It! Great $60 buy!!,"Not cheap and flimsy! Great buy, beautiful look, comfortable. In a temporary situation where I needed a twin size bed. It's really helping my lower back, feeling great getting it back on track!! Not bad at all for $60"
1.0,Pattie,2025-09-25,,***BED BUG WARNING *** I received 2 items from the Wal-Mart Warehouse with Bed Bugs Wal-Mart refuses to help me. I have spent $100s to get rid of the BEDBUGS and ZERO rcompensation. ***DO NOT BUY BEDDING ITEMS SHIPPED FROM WAL-MART WAREHOUSE ***
3.0,anonymous,2025-10-13,,"The mattess itself is different…If u get any marker stain on it, it is hard to clean off, I tried to clean off a marker stain my baby cousin had put on my bed and it left a yellow colored stain on my bed and it won't go away."
1.0,Raza,2025-11-07,NOT RETURNABLE!!!!,"This mattress is NOT RETURNABLE despite walmarts website sayin it is returnable. I received a used, damaged mattress. Walmart will only refund it if you can get it back into the box and that's impossible."
1.0,Elias,2025-08-31,Flattens quickly,"When I took the mattress out of the box, I was very pleased. Within a few weeks it had flattened permanently in the center. It is like a one inch foam pad"
5.0,Sharon,2025-11-29,,was the worst mattress i ever slept on. mattress was to thin and never completely filled out.material was loose on mattress. mattress had too much movement. itwas the worst. I had to purchase another mattress it was a waist of my money.
5.0,Trudeau,2025-12-02,Great mattress for the price,"Bought these for grandchildren and their new bunk beds at Grammy and Papa's house. They love them, sleep well and are ready to come back. They pop open out of the box easily, and are full size in a day."
5.0,stephanie,2025-11-02,,bed was all but ready when taken out of box children like them for the bunkbeds good value for money elsewhere $15 $20 more plus shipping was free for this items it was a bed in box but was easy box was heavy thou.
5.0,Beth,2025-11-01,It's a Wrap,"The matress is comfortable. The only problem was that the unwrapping instructions were wrapped inside. I had to completely unwrap it to get the unwrapping instructions. They were funny, though."
5.0,Beth,2025-11-01,It's a Wrap,"The matress is comfortable. The only problem was that the unwrapping instructions were wrapped inside. I had to completely unwrap it to get the unwrapping instructions. They were funny, though."
3.0,Melanie,2025-11-04,,"I got this to go under a mattress. But i know I would not want this to be my mattress I lay on. Very thin, probably feel the springs. This was inexpensive, tho, not worth it . Spend a bit more on something you can actually sleep on."
5.0,Sharon,2025-11-29,,was the worst mattress i ever slept on. mattress was to thin and never completely filled out.material was loose on mattress. mattress had too much movement. itwas the worst. I had to purchase another mattress it was a waist of my money.
5.0,Judy,2025-11-11,,"If it's something that I had wanted to buy I would have, unfortunately it's not something that I needed and wanted. I think it's just the right thing that I would have wanted . It's perfect. It's also looks like it's a well made product"
1.0,Pattie,2025-09-25,,***BED BUG WARNING *** I received 2 items from the Wal-Mart Warehouse with Bed Bugs Wal-Mart refuses to help me. I have spent $100s to get rid of the BEDBUGS and ZERO rcompensation. ***DO NOT BUY BEDDING ITEMS SHIPPED FROM WAL-MART WAREHOUSE ***
1.0,hmandgprty4u,2025-09-13,,Every movement felt the inner springs. Had to buy mattresses topper. Had I known that I would have purchased a different one. I would not recommend this mattress.
3.0,anonymous,2025-10-13,,"The mattess itself is different…If u get any marker stain on it, it is hard to clean off, I tried to clean off a marker stain my baby cousin had put on my bed and it left a yellow colored stain on my bed and it won't go away."
